time,custom_id,x,y,z
3.86,1003,1994.37,25.00,2485.30
3.86,1001,2001.78,25.00,2557.40
3.89,1003,1994.35,25.00,2485.65
3.89,1001,2001.73,25.00,2557.40
3.92,1003,1994.34,25.00,2486.01
3.92,1001,2001.69,25.00,2557.40
3.94,1003,1994.33,25.00,2486.36
3.94,1001,2001.64,25.00,2557.40
3.97,1003,1994.32,25.00,2486.73
3.97,1001,2001.60,25.00,2557.40
4.00,1003,1994.30,25.00,2487.12
4.00,1001,2001.55,25.00,2557.40
4.02,1003,1994.29,25.00,2487.51
4.02,1001,2001.50,25.00,2557.40
4.05,1003,1994.28,25.00,2487.85
4.05,1001,2001.46,25.00,2557.40
4.07,1003,1994.27,25.00,2488.21
4.07,1001,2001.42,25.00,2557.40
4.10,1003,1994.26,25.00,2488.57
4.10,1001,2001.37,25.00,2557.40
4.13,1003,1994.24,25.00,2488.96
4.13,1001,2001.32,25.00,2557.40
4.15,1003,1994.23,25.00,2489.32
4.15,1001,2001.28,25.00,2557.40
4.18,1003,1994.22,25.00,2489.67
4.18,1001,2001.23,25.00,2557.40
4.21,1003,1994.21,25.00,2490.03
4.21,1001,2001.19,25.00,2557.40
4.23,1003,1994.20,25.00,2490.38
4.23,1001,2001.15,25.00,2557.40
4.26,1003,1994.18,25.00,2490.75
4.26,1001,2001.10,25.00,2557.40
4.28,1003,1994.17,25.00,2491.12
4.28,1001,2001.05,25.00,2557.40
4.31,1003,1994.16,25.00,2491.50
4.31,1001,2001.01,25.00,2557.40
4.34,1003,1994.15,25.00,2491.89
4.34,1001,2000.96,25.00,2557.40
4.37,1003,1994.13,25.00,2492.26
4.37,1001,2000.91,25.00,2557.40
4.39,1003,1994.12,25.00,2492.62
4.39,1001,2000.87,25.00,2557.40
4.42,1003,1994.11,25.00,2492.98
4.42,1001,2000.82,25.00,2557.40
4.44,1003,1994.10,25.00,2493.34
4.44,1001,2000.78,25.00,2557.40
4.47,1003,1994.09,25.00,2493.69
4.47,1001,2000.74,25.00,2557.40
4.49,1003,1994.07,25.00,2494.04
4.49,1001,2000.69,25.00,2557.40
4.52,1003,1994.06,25.00,2494.41
4.52,1001,2000.65,25.00,2557.40
4.55,1003,1994.05,25.00,2494.78
4.55,1001,2000.60,25.00,2557.40
4.58,1003,1994.04,25.00,2495.18
4.58,1001,2000.55,25.00,2557.40
4.60,1003,1994.03,25.00,2495.54
4.60,1001,2000.51,25.00,2557.40
4.63,1003,1994.01,25.00,2495.90
4.63,1001,2000.46,25.00,2557.40
4.66,1003,1994.00,25.00,2496.28
4.66,1001,2000.42,25.00,2557.40
4.68,1003,1993.99,25.00,2496.68
4.68,1001,2000.37,25.00,2557.40
4.71,1003,1993.98,25.00,2497.03
4.71,1001,2000.32,25.00,2557.40
4.74,1003,1993.96,25.00,2497.39
4.74,1001,2000.28,25.00,2557.39
4.76,1003,1993.95,25.00,2497.76
4.76,1001,2000.23,25.00,2557.39
4.79,1003,1993.94,25.00,2498.15
4.79,1001,2000.18,25.00,2557.39
4.82,1003,1993.93,25.00,2498.51
4.82,1001,2000.14,25.00,2557.39
4.84,1003,1993.91,25.00,2498.86
4.84,1001,2000.09,25.00,2557.39
4.87,1003,1993.90,25.00,2499.21
4.87,1001,2000.05,25.00,2557.39
4.89,1003,1993.89,25.00,2499.57
4.89,1001,2000.01,25.00,2557.39
4.92,1003,1993.88,25.00,2499.94
4.92,1001,1999.96,25.00,2557.39
4.95,1003,1993.87,25.00,2500.31
4.95,1001,1999.92,25.00,2557.39
4.97,1003,1993.85,25.00,2500.67
4.97,1001,1999.87,25.00,2557.39
5.00,1003,1993.84,25.00,2501.03
5.00,1001,1999.83,25.00,2557.39
5.03,1003,1993.83,25.00,2501.42
5.03,1001,1999.78,25.00,2557.39
5.06,1003,1993.81,25.00,2501.89
5.06,1001,1999.72,25.00,2557.39
5.09,1003,1993.80,25.00,2502.28
5.09,1001,1999.67,25.00,2557.39
5.11,1003,1993.79,25.00,2502.66
5.11,1001,1999.62,25.00,2557.39
5.14,1003,1993.78,25.00,2503.05
5.14,1001,1999.57,25.00,2557.39
5.17,1003,1993.76,25.00,2503.41
5.17,1001,1999.53,25.00,2557.39
5.20,1003,1993.75,25.00,2503.79
5.20,1001,1999.48,25.00,2557.39
5.22,1003,1993.74,25.00,2504.15
5.22,1001,1999.44,25.00,2557.39
5.25,1003,1993.73,25.00,2504.51
5.25,1001,1999.39,25.00,2557.39
5.28,1003,1993.71,25.00,2504.89
5.28,1001,1999.35,25.00,2557.39
5.30,1003,1993.70,25.00,2505.28
5.30,1001,1999.30,25.00,2557.39
5.33,1003,1993.69,25.00,2505.64
5.33,1001,1999.25,25.00,2557.39
5.36,1003,1993.68,25.00,2506.04
5.36,1001,1999.20,25.00,2557.39
5.39,1003,1993.66,25.00,2506.43
5.39,1001,1999.16,25.00,2557.39
5.42,1003,1993.65,25.00,2506.85
5.42,1001,1999.10,25.00,2557.39
5.45,1003,1993.64,25.00,2507.25
5.45,1001,1999.05,25.00,2557.39
5.47,1003,1993.62,25.00,2507.63
5.47,1001,1999.01,25.00,2557.39
5.50,1003,1993.61,25.00,2508.00
5.50,1001,1998.96,25.00,2557.39
5.53,1003,1993.60,25.00,2508.37
5.53,1001,1998.91,25.00,2557.39
5.55,1003,1993.59,25.00,2508.74
5.55,1001,1998.87,25.00,2557.39
5.58,1003,1993.57,25.00,2509.12
5.58,1001,1998.82,25.00,2557.39
5.61,1003,1993.56,25.00,2509.56
5.61,1001,1998.77,25.00,2557.39
5.64,1003,1993.55,25.00,2509.96
5.64,1001,1998.72,25.00,2557.39
5.67,1003,1993.53,25.00,2510.36
5.67,1001,1998.67,25.00,2557.39
5.70,1003,1993.52,25.00,2510.75
5.70,1001,1998.62,25.00,2557.39
5.72,1003,1993.51,25.00,2511.11
5.72,1001,1998.57,25.00,2557.39
5.75,1003,1993.49,25.00,2511.51
5.75,1001,1998.53,25.00,2557.39
5.78,1003,1993.48,25.00,2511.90
5.78,1001,1998.48,25.00,2557.39
5.81,1003,1993.47,25.00,2512.30
5.81,1001,1998.43,25.00,2557.39
5.84,1003,1993.46,25.00,2512.67
5.84,1001,1998.38,25.00,2557.39
5.86,1003,1993.44,25.00,2513.06
5.86,1001,1998.33,25.00,2557.39
5.89,1003,1993.43,25.00,2513.48
5.89,1001,1998.28,25.00,2557.39
5.92,1003,1993.42,25.00,2513.89
5.92,1001,1998.23,25.00,2557.39
5.95,1003,1993.40,25.00,2514.29
5.95,1001,1998.18,25.00,2557.39
5.98,1003,1993.39,25.00,2514.66
5.98,1001,1998.13,25.00,2557.39
6.01,1003,1993.38,25.00,2515.04
